"4.您的月生活费○≦1,000元   ○1,001-2,000元   ○2,001-3,000元   ○≧3,001元",5.您进行过绿色低碳的相关生活方式吗?
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,2.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
0.7576026558777961,1.0
-0.2999645033424777,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
0.7576026558777961,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-1.3575316625627514,1.0
0.7576026558777961,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
0.7576026558777961,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,2.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
0.7576026558777961,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-1.3575316625627514,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
0.7576026558777961,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
-1.3575316625627514,1.0
-1.3575316625627514,1.0
1.8151698150980697,1.0
0.7576026558777961,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
1.8151698150980697,1.0
1.8151698150980697,1.0
0.7576026558777961,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
-1.3575316625627514,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
1.8151698150980697,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
1.8151698150980697,1.0
-0.2999645033424777,1.0
0.7576026558777961,1.0
-1.3575316625627514,1.0
-1.3575316625627514,1.0
1.8151698150980697,1.0
0.7576026558777961,1.0
-1.3575316625627514,1.0
0.7576026558777961,1.0
-1.3575316625627514,1.0
0.7576026558777961,1.0
-1.3575316625627514,1.0
1.8151698150980697,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
1.8151698150980697,1.0
-1.3575316625627514,1.0
1.8151698150980697,1.0
1.8151698150980697,1.0
0.7576026558777961,1.0
0.7576026558777961,1.0
1.8151698150980697,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
1.8151698150980697,1.0
0.7576026558777961,1.0
1.8151698150980697,1.0
0.7576026558777961,1.0
0.7576026558777961,1.0
0.7576026558777961,1.0
0.7576026558777961,1.0
-0.2999645033424777,1.0
0.7576026558777961,1.0
0.7576026558777961,1.0
1.8151698150980697,1.0
1.8151698150980697,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
0.7576026558777961,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-1.3575316625627514,1.0
1.8151698150980697,1.0
-1.3575316625627514,1.0
-1.3575316625627514,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
0.7576026558777961,1.0
-1.3575316625627514,1.0
0.7576026558777961,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
1.8151698150980697,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
1.8151698150980697,1.0
-1.3575316625627514,1.0
0.7576026558777961,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
0.7576026558777961,1.0
1.8151698150980697,1.0
-0.2999645033424777,1.0
0.7576026558777961,1.0
0.7576026558777961,1.0
0.7576026558777961,1.0
0.7576026558777961,1.0
0.7576026558777961,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
1.8151698150980697,1.0
1.8151698150980697,1.0
0.7576026558777961,1.0
-0.2999645033424777,1.0
0.7576026558777961,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
-1.3575316625627514,1.0
0.7576026558777961,1.0
-1.3575316625627514,1.0
0.7576026558777961,1.0
0.7576026558777961,1.0
-0.2999645033424777,1.0
0.7576026558777961,1.0
-0.2999645033424777,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
0.7576026558777961,1.0
0.7576026558777961,1.0
1.8151698150980697,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
-1.3575316625627514,1.0
-1.3575316625627514,1.0
0.7576026558777961,1.0
-0.2999645033424777,1.0
1.8151698150980697,1.0
-1.3575316625627514,1.0
1.8151698150980697,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
0.7576026558777961,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-1.3575316625627514,1.0
0.7576026558777961,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
-1.3575316625627514,1.0
-1.3575316625627514,1.0
1.8151698150980697,1.0
0.7576026558777961,1.0
-0.2999645033424777,1.0
1.8151698150980697,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
1.8151698150980697,1.0
-0.2999645033424777,1.0
0.7576026558777961,1.0
-1.3575316625627514,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
0.7576026558777961,1.0
0.7576026558777961,1.0
0.7576026558777961,1.0
1.8151698150980697,1.0
-0.2999645033424777,1.0
0.7576026558777961,1.0
0.7576026558777961,1.0
1.8151698150980697,1.0
1.8151698150980697,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
0.7576026558777961,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
1.8151698150980697,1.0
-1.3575316625627514,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
0.7576026558777961,1.0
0.7576026558777961,1.0
-1.3575316625627514,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
1.8151698150980697,1.0
-0.2999645033424777,1.0
0.7576026558777961,1.0
-1.3575316625627514,1.0
1.8151698150980697,1.0
-0.2999645033424777,1.0
0.7576026558777961,1.0
-0.2999645033424777,1.0
1.8151698150980697,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
1.8151698150980697,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-1.3575316625627514,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
0.7576026558777961,1.0
0.7576026558777961,1.0
-0.2999645033424777,1.0
-0.2999645033424777,1.0
-1.3575316625627514,1.0
1.8151698150980697,1.0
-0.2999645033424777,1.0
-1.3575316625627514,1.0
1.8151698150980697,1.0
0.7576026558777961,1.0
-1.3575316625627514,1.0
0.7576026558777961,1.0
-1.3575316625627514,1.0
0.7576026558777961,1.0
1.8151698150980697,1.0
-0.2999645033424777,2.0
-0.2999645033424777,1.0
